축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
서산6쪽마늘축제,서산시 해미면 해미읍성,2019-07-01,2019-07-01,"6쪽마늘 판매, 공연, 체험 등",서산6쪽마늘축제추진위원회,충청남도 서산시,충청남도 서산시,041-660-2435,http://www.seosan.go.kr/tour,"6쪽마늘, 해미읍성",충청남도 서산시 해미면 남문2로 143,,36.71355717,126.5503842,2019-09-26,6440000,충청남도
삼길포우럭축제,서산시 대산읍 삼길포항,2019-07-26,2019-07-28,"공식행사, 축하공연, 독살체험, 수산물 시식회,에어바운스 물고기 잡기, 수산물 전시 및 판매, 노래자랑 및 장기자랑 등",삼길포축제위원회,충청남도 서산시,충청남도 서산시,041-660-2069,http://www.samgilpo.com,"황금산, 벌천포해수욕장, 웅도갯벌체험",충청남도 서산시 대산읍 삼길포3길 8,충청남도 서산시 대산읍 화곡리 7-23,37.0010156,126.4515766,2019-09-26,6440000,충청남도
서산뻘낙지먹물축제,서산시 지곡면 중왕리 포구,2019-09-01,2019-09-01,"공식행사, 먹물 퍼포먼스, 수산물 시식, 수산물 전시 및 판매, 바지락캐기,  먹물글씨쓰기, 낙지잡기 등",서산갯마을뻘낙지축제위원회,충청남도 서산시,충청남도 서산시,041-660-2069,http://www.seosan.go.kr/tour,"안견기념관, 팔봉산, 황금산, 삼길포항",충청남도 서산시 지곡면 어름들2길 66,충청남도 서산시 지곡면 중왕리 196,36.88040156,126.3845472,2019-09-26,6440000,충청남도
서산어리굴젓축제,서산시 부석면 간월도리 일원,2019-10-01,2019-10-01,"공식행사, 각종체험(바지락캐기, 어선체험, 굴까기 체험 및 밑반찬용 굴 무치기 등), 부대행사, 전시행사 등",간월도어리굴젓수산물한마당추진위원회,충청남도 서산시,충청남도 서산시,041-660-2069,http://www.seosan.go.kr/tour,"버드랜드,간월암,부석사",충청남도 서산시 부석면 간월도1길119-29,충청남도 서산시 부석면 간월도리 16-11,36.60375494,126.4110016,2019-09-26,6440000,충청남도
서산해미읍성축제,서산시 해미면 해미읍성,2019-10-11,2019-10-13,"주제체험(세계의 민속놀이 해미읍성에서 놀아보자), 기획프로그램, 전통문화공연, 상설프로그램 및 체험프로그램, 연계프로그램 등",서산해미읍성축제추진위원회,충청남도 서산시,문화체육관광부,041-660-2679,http://www.haemifest.com/,"해미읍성, 해미성지, 가야산 등",충청남도 서산시 해미면 남문2로 143,,36.71355717,126.5503842,2019-09-26,6440000,충청남도
서산국화축제,서산시 고북면 가구리 한농원,2019-11-01,2019-11-10,"야외전시장 조성, 작품국전시, 문화예술공연, 체험행사, 농특산물 홍보 판매 등",서산국화축제추진위원회,충청남도 서산시,서산시의회,041-660-3935,http://gukhwaou.blog.me/,"국화꽃, 사과, 국화꽃 체험",충청남도 서산시 고북면 복남골길 31-1,충청남도 서산시 고북면 가구리 621-4,36.6693265,126.536271,2019-09-26,6440000,충청남도
논산딸기축제,논산시 대교하상주차장,2019-03-20,2019-03-24,논산딸기 우수성 홍보,논산딸기축제추진위원회,충청남도 논산시,논산문화원등,041-746-8386,http://www.nonsan.go.kr/nsfestival,,충청남도 논산시 강변로 370,충청남도 논산시 대교동 319,36.20922889,127.0819869,2019-09-26,6440000,충청남도
강경젓갈축제,강경둔치 일원,2019-10-16,2019-10-20,강경젓갈 우수성 홍보,강경젓갈축제추진위원회,충청남도 논산시,문화체육관광부,041-746-5663,http://www.nonsan.go.kr/ggfestival/,,충청남도 논산시 강경읍 금백로 45,충청남도 논산시 강경읍 황산리 198,36.15755616,127.0098062,2019-09-26,6440000,충청남도
양촌곶감축제,충청남도 논산시 양촌면 양촌리 454번지 체육공원,2019-12-14,2019-12-15,곶감축제,양촌곶감축제추진위원회,충청남도 논산시,,041-746-8795,http://www.nonsan.go.kr/tour/html/sub03/03010703.html,,,충청남도 논산시 양촌면 양촌리 454,36.1292062,127.2474063,2019-09-26,6440000,충청남도
2019계룡세계軍문화축제,계룡대활주로,2019-10-02,2019-10-06,"軍문화 관련 공연, 전시, 체험, 이벤트 등",(재)계룡軍문화발전재단,계룡시,"국방부, 육군본부 등",042-840-2631,www.m-festival.org,,충청남도 계룡시 신도안면 계룡대로 663,,,,2019-09-26,6440000,충청남도
왜목해돋이축제,왜목마을 일대,2019-12-31,2020-01-01,"소원지 태우기, 일출 감상, 떡국 나눔행사 등",충청남도 당진시,충청남도 당진시 문화관광과,"충청남도, 충청남도 당진시",041-350-3592,http://tour.dangjin.go.kr,"왜목해수욕장, 난지도해수욕장, 보덕사, 성산리산성, 기지시줄다리기",충청남도 당진시 시청1로 1,충청남도 당진시 석문면 교로리 844-4,36.88973998,126.6459689,2019-09-26,6440000,충청남도
기지시줄다리기 민속축제,기지시줄다리기 박물관 일원,2019-04-11,2019-04-14,"국수봉당제, 시장기원제, 그네뛰기 등 민속놀이, 스포츠 줄다리기, 줄고사, 줄나가기, 줄다리기 등","충청남도 당진시, 기지시줄다리기 축제위원회",기지시줄다리기 축제위원회,"충청남도, 충청남도 당진시, 기지시줄다리기 보존회 등",041-355-8118,http://www.gijisi.com,"기지시시장, 송악읍, 필경사, 흥척동 우물, 기지시 틀못, 솔뫼성지, 심훈기념관",충청남도 당진시 송악읍 안틀모시길 11,,36.89616138,126.694732,2019-09-26,6440000,충청남도
장고항 실치축제,장고항 일대,2019-04-27,2019-04-28,"맨손고기잡이, 수산물경매, 실치로 뱅어포 만들기, 사물놀이, 노래자랑 등",당진수산업협동조합,장고항실치축제위원회,"충청남도 당진시, 수협중앙회, 한국동서발전, 석문면, 석문면개발위원회 등",041-350-4271,http://tour.dangjin.go.kr,"왜목해수욕장, 난지도해수욕장, 보덕사, 성산리산성, 기지시줄다리기",충청남도 당진시 석문면 장고항로 298-5,충청남도 당진시 석문면 장고항리 577,37.0288688,126.5619088,2019-09-26,6440000,충청남도
한진포구 바지락 갯벌체험축제,한진포구 일대,2019-05-25,2019-05-27,"바지락캐기, 바다낚시체험, 경품행사, 바지락요리시식회, 불꽃놀이",한진 바지락 축제위원회,"해양수산부, 충청남도, 당진시","현대제철, 동부제철, 평택화력 등",041-356-6098,http://tour.dangjin.go.kr,"한진포구, 필경사, 심훈기념관, 영웅바위, 안섬포구, 안섬풍어제",충청남도 당진시 송악읍 한진포구길 50-1,충청남도 당진시 송악읍 한진리 95-17,36.97041875,126.7815875,2019-09-26,6440000,충청남도
면천 진달래축제,면천읍성 앞 광장 및 면천일원,2019-04-06,2019-04-07,"진달래 사생대회 및 백일장, 진달래 어린이 장사 씨름대회, 진달래 청소년 가요제, 진달래 음식체험 등",향토발전진달래,면천진달래민속축제 집행위원회,"충청남도 당진시, 당진시교육지원청, 면천면, 면천두견주보존회 등",041-356-3848,http://www.jindalae.co.kr,"면천읍성, 면천두견주, 영탑사, 성상리산성, 면천은행나무, 면천향교",충청남도 당진시 면천면 면천서문1길 69,충청남도 당진시 면천면 성상리 771-2,36.81761891,126.666993,2019-09-26,6440000,충청남도
심훈상록문화제,당진시청 일원,2019-09-20,2019-09-22,"심훈문학상 수상, 심훈상록수연극공연, 심훈청소년국악제 등",심훈상록문화제 집행위원회,(사)심훈상록문화제집행위원회,"충청남도 당진시, 당진시의회, 충청남도당진교육지원청, 홍성보훈지청 등",041-357-4151,http://www.djsangnok.org,"당진시청, 필경사, 심훈기념관, 한진포구, 행담도, 기지시줄다리기 등",충청남도 당진시 시청1로 1(수청동),충청남도 당진시 수청동 1002,36.889754,126.6459689,2019-09-26,6440000,충청남도
금산인삼축제,금산인삼관 광장 및 인삼약초시장 일원,2019-09-27,2019-10-06,"인삼캐기체험, 건강체험관, 어린이힐링놀이터,인삼아트거리 등 체험",금산축제관광재단,금산군,"산업통상자원부, 한국관광공사",041-750-2411,http://www.insamfestival.co.kr/,,충청남도 금산군 금산읍 인삼광장로 30,충청남도 금산군 금산읍 신대리 392,36.1000256,127.5007304,2019-09-26,6440000,충청남도
비단고을산꽃축제,군북면 산꽃벚꽃마을 오토캠핑장,2019-04-13,2019-04-14,"산꽃 술래길 건강걷기, 숲속 작은 음악회, 산꽃음악회 등 공연프로그램 등",보곡산골마을회,금산문화원,금산군,041-750-2411,http://tour.geumsan.go.kr/,,충청남도 금산군 군북면 자진뱅이길 95,충청남도 금산군 군북면 산안리 294,36.19093401,127.5710874,2019-09-26,6440000,충청남도
금강여울축제,부리면 금강놀이마당,2019-07-12,2019-07-13,"강변슬라이딩, 금강족욕, 민물고기잡기, 경운기투어, 여치집만들기, 농바우끄시기, 물페기농요 등 민속공연","물페기농요보존회, 농바우끄시기보존회",금산문화원,금산군,041-750-2411,http://tour.geumsan.go.kr/,,충청남도 금산군 부리면 적벽강로 189,충청남도 금산군 부리면 평촌리 10-5,36.0751568,127.5683215,2019-09-26,6440000,충청남도
금산천봄꽃축제,금산읍 금산천 일원,2019-04-06,2019-04-06,"봄꽃노래자랑, 소원꽃잎적기, 주민자치센터공연, 봄꽃카페 등",금산천봄꽃축제추진위원회,금산천봄꽃축제추진위원회,금산군,041-750-8103,https://www.geumsan.go.kr/town_01/,,충청남도 금산군 금산읍 금산천길 28,충청남도 금산군 금산읍 상옥리 467-160,36.1020211,127.4843123,2019-09-26,6440000,충청남도
부여서동연꽃축제,서동공원,2019-07-05,2019-07-28,"연꽃과 서동선화의 사랑이야기를 담은 각종 전시, 공연, 체험 등",부여서동연꽃축제추진위원회,부여군,"문화체육관광부,충청남도,한국관광공사,한국지역진흥재단,맥키스컴퍼니,롯데리조트부여,농협중앙회부여군지부,정관장",041-830-2211,www.부여서동연꽃축제.kr,,충청남도 부여군 부여읍 궁남로 52,충청남도 부여군 부여읍 동남리 117,36.27145891,126.9136908,2019-09-26,6440000,충청남도
백제문화제,부여 구드래 일원,2019-09-28,2019-10-06,사비 백제 역사를 담은 문화제,(재)백제문화제추진위원회,"충청남도,공주시,부여군","문화체육관광부,한국관광공사",041-830-2211,http://www.baekje.org/html/kr/,,충청남도 부여군 부여읍 구교리 17-4,충청남도 부여군 부여읍 구교리 17-4,36.28714312,126.9067822,2019-09-26,6440000,충청남도
춘장대해수욕장 여름문화예술축제,춘장대해수욕장 중앙광장,2019-07-20,2019-07-21,전국 가요제,춘장대해수욕장 운영협의회,춘장대해수욕장 운영협의회,충청남도 서천군청,041-950-4019,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,2019-09-26,6440000,충청남도
자연산 광어.도미 축제,서면 마량포구 일원,2019-05-11,2019-05-26,"맨손으로 광어잡기 체험, 기념공원에서 보물찾기",서면개발위원회,서면개발위원회,충청남도 서천군청,041-950-4256,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2019-09-26,6440000,충청남도
동백꽃 주꾸미 축제,서면 마량리 동백나무숲 일원,2019-03-16,2019-03-31,"어린이 주꾸미 낚시 체험, 동백나무숲 보물찾기 이벤트",서면개발위원회,서면개발위원회,충청남도 서천군청,041-950-4256,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로235번길 22,충청남도 서천군 서면 마량리 313-2,36.14324982,126.4963639,2019-09-26,6440000,충청남도
마량포 해넘이.해돋이 축제,서면 마량포구 일원,2019-12-31,2020-01-01,"덕담엽서 보내기, 새해 떡국나눔행사, 불꽃놀이, 신년 카운트다운 등",서면개발위원회,서면개발위원회,충청남도 서천군청,041-950-4019,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2019-09-26,6440000,충청남도
홍원항 자연산 전어.꽃게 축제,서면 홍원항 일원,2019-09-07,2019-09-22,"맨손으로 전어 잡기 체험, 추억의 놀이 체험, 숨셔진 보물을 찾아라, 비눗방울 놀이 등",홍원항마을축제추진위원회,홍원항마을축제추진위원회,충청남도 서천군청,041-950-4256,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 홍원길 130-3,충청남도 서천군 서면 도둔리 1222-7,36.15886,126.4992204,2019-09-26,6440000,충청남도
한산모시문화제,한산모시관 일원,2019-06-07,2019-06-10,한산모시를 주제로 하는 다양한 프로그램 운영,한산모시문화제추진위원회,서천군,"문화체육관광부, 충청남도, 농협 등",041-950-4016,www.hansanmosi.kr/,"축제 일정, 프로그램",충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,36.07994424,126.7987047,2019-09-26,6440000,충청남도
장승문화축제,장승공원일원,2019-04-13,2019-04-14,"장승대제, 장승깍기등 장승   관련행사",장승축제추진위원회,장승축제추진위원회,충청남도 청양군,041-943-4774,http://korean.visitkorea.or.kr/kor/bz15/where/festival/festival.jsp?cid=293475,"칠갑산, 장곡사",충청남도 청양군 대치면 장곡길 119-19,충청남도 청양군 대치면 장곡리 67-15,36.40991529,126.8503994,2019-09-26,6440000,충청남도
청양고추.구기자축제,백세공원일원,2019-09-27,2019-09-28,"고추판매 및 체험프로그램, 공연 등",청양고추구기자축제추진위원회,청양고추구기자축제추진위원회,충청남도 청양군,041-940-2302,http://www.cheongyang.go.kr/kor.do,"백세공원,청양고추시장, 청양시장",,충청남도 청양군 청양읍 읍내리 404-1,,,2019-09-26,6440000,충청남도
홍성역사인물축제,홍주읍성,2019-09-27,2019-09-28,"역사현장타임머신체험, 홍주읍성 히어로 파사드, 훈민정음 해례본체험, 홍주읍성 기억 사진관 등",홍성역사인물축제추진위원회,홍성군,"문화체육관광부, 한국관광공사, 충청남도",041-630-1227,herofestival.co.kr,,충청남도 홍성군 홍성읍 아문길 27,,36.6017196,126.6613896,2019-09-26,6440000,충청남도
홍성남당항대하축제,남당항 일원,2019-02-01,2019-02-17,대하 특산물 홍보 및 판매,남당항축제추진위원회,남당항축제추진위원회,홍성군,041-630-1227,,"남당항, 속동전망대",충청남도 홍성군 서부면 남당항로213번길 25-62,충청남도 홍성군 서부면 남당리 863,36.53503195,126.467178,2019-09-26,6440000,충청남도
홍성남당항새조개축제,남당항 일원,2019-04-27,2019-04-29,새조개 특산물,남당항축제추진위원회,남당항축제추진위원회,홍성군,041-630-1227,,"남당항, 속동전망대",충청남도 홍성군 서부면 남당항로213번길 25-62,충청남도 홍성군 서부면 남당리 863,,,2019-09-26,6440000,충청남도
윤봉길평화축제,충의사 일원,2019-04-27,2019-04-29,윤봉길 의사의 4.29 의거를 기념하는 독립운동가축제,윤봉길평화축제추진위원회,(사)매헌윤봉길월진회,예산군 등,041-339-7312,www.ybgfestival.kr,,충청남도 예산군 덕산면 덕산온천로 183-5,충청남도 예산군 덕산면 시량리 119-1,36.6865377,126.6513825,2019-09-26,6440000,충청남도
의좋은형제축제,의좋은형제공원,2019-10-18,2019-10-24,의좋은형제 이야기를 소재로 한 체험형 관광축제,의좋은형제축제추진위원회,대흥현보존회,없음,041-339-7312,없음,,충청남도 예산군 대흥면 의좋은형제길 37,충청남도 예산군 대흥면 동서리 106-1,36.60702389,126.7888311,2019-09-26,6440000,충청남도
태안국제모래조각 페스티벌,신두리 사구센터,2019-07-11,2019-07-14,모래조각 경연대회 등,국제모래조각 페스티벌 추진위원회,국제모래조각 페스티벌 추진위원회,,,,,충청남도 태안군 원북면 신두해변길 22-5,,,,2019-09-26,6440000,충청남도
태안 몽산포항 주꾸미&수산물 축제,몽산포항,2019-04-20,2019-05-06,"주꾸미시식, 물고기잡기 등",몽산포항 주꾸미&수산물 축제위원회,몽산포항 주꾸미&수산물 축제위원회,,,,,충청남도 태안군 남면 몽대로 495-38,,,,2019-09-26,6440000,충청남도
태안 세계툴립축제,꽃지해수욕장 해안공원,2019-04-13,2019-05-12,튤립,(주)네이처농업회사법인,(주)네이처농업회사법인,,,,,충청남도 태안군 안면읍 꽃지해안로 400,,,,2019-09-26,6440000,충청남도
제46회 강진청자축제,청자촌 일원,2019-10-03,2019-10-09,가을축제에 따른 다이내믹하고 흥이 넘치는 청자촌 분위기 조성과 향우와 구민이 함께 어우러지는 문화체육관광부 선정 우수축제,강진군향토축제추진위원회,강진군,"문화체육관광부, 전라남도, 한국관광공사, 하이트진로㈜, ㈜일화, 농협중앙회, 광주은행",061-430-3352,http://www.gangjin.go.kr/culture/,,전라남도 강진군 대구면 청자촌길 33,전라남도 강진군 대구면 사당리 127,34.50866041,126.8008375,2019-12-02,4920000,전라남도 강진군
제18회 전라병영성 축제,전라병영성 일원,2019-04-19,2019-04-21,2019년 올해의 관광도시 방문 관광객과 군민이 함께 즐기며 대한민국 호국정신 성지로 이어가는 역사교육 도시로의 재탄생 도약 축제,강진군향토축제추진위원회,강진군,전라남도,061-430-3354,http://www.gangjin.go.kr/culture/,,전라남도 강진군 병영면 병영성로 175,전라남도 강진군 병영면 병영성로 175,34.72004452,126.8171446,2019-12-02,4920000,전라남도 강진군
제16회 영랑문학제,영랑생가 일원,2019-04-26,2019-04-27,영랑생가와 주변 경관을 무대로 영랑시인의 시 세계를 조명하고 인문학적 감성축제 개발로 관광객과 함께하는 축제,강진군 / (사)영랑기념사업회,강진군,"문화체육관광부, 전라남도, 전라남도교육청, 강진교육지원청",061-430-3372,http://www.gangjin.go.kr/culture/,,전라남도 강진군 강진읍 영랑생가길 15,전라남도 강진군 강진읍 남성리 211-1,34.6420738,126.765573,2019-12-02,4920000,전라남도 강진군
제3회 강진만 춤추는 갈대축제,강진만 생태공원 일원,2019-10-26,2019-11-03,가을의 정취와 추억을 체험하는 ''''남도답사 1번지'''' 이미지 창출과 갈대·음악·자연을 대표하는 명품 축제,강진군 향토축제추진위원회,강진군,,061-430-3354,http://www.gangjin.go.kr/culture/,,전라남도 강진군 강진읍 남당로 97,전라남도 강진군 강진읍 목리 128-1,34.6259705,126.7724317,2019-12-02,4920000,전라남도 강진군
제25회 남도음식문화큰잔치,강진만 생태공원 일원,2019-10-11,2019-10-13,"남도음식의 보존·발전과 산업화, 세계화를 위한 체험과 참여가 어우러진 대표음식 브랜드 발굴육성 축제",(재)남도음식문화큰잔치,전라남도/강진군,"문화체육관광부, 농림축산식품부, 식품의약품안전처, 한국관광공사",061-430-3354,http://www.gangjin.go.kr/culture/,,전라남도 강진군 강진읍 남당로 97,전라남도 강진군 강진읍 목리 128-1,34.6259705,126.7724317,2019-12-02,4920000,전라남도 강진군
2019 금정산성축제,"온천천(장전역 ~ 부산대지하철역), 금정산성다목적광장 일원",2019-05-24,2019-05-26,"개막식, 공연·체험 프로그램, 부대행사 등",금정문화재단,부산광역시 금정구,,051-519-4062,http://festival.geumjeong.go.kr,"금정산성, 금정산성막걸리, 금어전통체험 등",,부산광역시 금정구 금성동 산41-13,35.2453467,129.0635718,2019-11-01,3350000,부산광역시 금정구
제4회 라라라 페스티벌,부산대 지하철역 아래 문화행사장 일원 (온천천 어울마당),2019-10-04,2019-10-06,"금정 커피,빵,문화의 맛 즐기기 및 공연 등 문화공간 제공",부산광역시 금정구,부산광역시 금정구,,051-519-4422,,"금정의 커피 및 빵 즐기기, 초콜릿 만들기, 라라라 놀이체육 한마당, 금정 맛 푸드 콘서트 등",,부산광역시 금정구 장전동 부산대 지하철역 아래 문화행사장 일원,35.230188,129.089184,2019-11-01,3350000,부산광역시 금정구
청송사과축제,청송읍 용전천 변,2019-10-30,2019-11-03,공연/경연/체험/전시/판매,청송군축제추진위원회,청송군,"경상북도, 청송군의회, 청송경찰서, 청송교육지원청, 청송군관내농협, (사)청송사과협회, 청송사과유통공사, (재)청송문화관광재단",054-870-6237,,,,경상북도 청송군 청송읍 월막리 368-2,36.432499,129.054312,2019-12-10,5160000,경상북도 청송군
봉황각 3.1독립운동 재현행사,서울특별시 강북구 우이동 봉황각 일원,2019-03-01,2019-03-01,도선사 타종  독립선언문 낭독  길놀이 및 태극기 거리행진,서울특별시 강북구청,서울특별시 강북구청,강북문화발전협의회  천도교 중앙총부  티브로드,02-901-6207,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,37.66053059,127.0064736,2019-11-18,3080000,서울특별시 강북구
4.19혁명 국민문화제 2019,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,2019-04-13,2019-04-19,4.19기념 국민문화제,4.19혁명 국민문화제위원회,4.19 3개단체 및 서울특별시 강북구청,국가보훈처 서울특별시  서울특별시 교육청  KBS,02-901-6206,www.festival419.org,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,37.63918553,127.0254518,2019-11-18,3080000,서울특별시 강북구
종교연합바자회,서울특별시 강북구 한신대신학대학원,2019-10-12,2019-10-12,종교연합 바자회 기증물품 판매  문화공연  수익금전액 난치병어린이돕기 후원,서울특별시 강북구 관내 3종교연합,서울특별시 강북구 관내 3종교연합,강북구  티브로드  한신대학교 신학대학원,02-901-6207,www.gangbuk.go.kr,,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 498-16,37.6350142,127.0129382,2019-11-18,3080000,서울특별시 강북구
해맞이축제,영덕삼사해상공원,2018-12-31,2019-01-01,경북대종타종식 및 영덕해맞이축제,영덕군관광진흥협의회,경상북도청/경상북도 영덕군청,,054-730-6393,www.yd.go.kr,삼사해상산책로,경상북도 영덕군 강구면 해상공원길 120-11,경상북도 영덕군 강구면 삼사리 8-2,36.35194321,129.3848496,2019-09-16,5180000,경상북도 영덕군
영덕대게축제,경상북도 영덕군 강구항 일원,2018-03-22,2018-03-25,영덕대게 홍보 및 체험축제,영덕대게축제추진위원회,경상북도 영덕군청/영덕대게축제추진위원회,"문화체육관광부, 경상북도",054-730-6393,ydcrabfestival.com,해파랑공원,경상북도 영덕군 강구면 영덕대게로 132,경상북도 영덕군 강구면 강구리 581,36.36081011,129.3926424,2019-09-16,5180000,경상북도 영덕군
영덕황금은어축제,오십천 둔치 일원,2018-07-27,2018-07-29,황금은어 홍보 및 체험 축제,경상북도청/경상북도 영덕군청,경상북도청/경상북도 영덕군청,영덕경찰서 등 유관기관,054-730-6586,www.yd.go.kr,오십천,경상북도 영덕군 영덕읍 화개리 644,경상북도 영덕군 영덕읍 화개리 644,36.422248,129.356322,2019-09-16,5180000,경상북도 영덕군
영덕물가자미축제,축산항 일원,2018-05-04,2018-05-06,물가자미 홍보 및 체험 축제,경상북도청/경상북도 영덕군청,경상북도청/경상북도 영덕군청,영덕경찰서 등 유관기관,054-730-6092,www.yd.go.kr,축산항,경상북도 영덕군 축산면 축산리 216-3,경상북도 영덕군 축산면 축산리 216-3,36.509106,129.446771,2019-09-16,5180000,경상북도 영덕군
제3회 우포시조문학제,우포시조문학관,2019-09-07,2019-09-08,"시화전, 시조낭송, 전국 시조 사이버 공모, 학술세미나 등",우포시조문학관,우포시조문학관,,055-532-8989,,,경상남도 창녕군 이방면 목포길 99,,35.56378606,128.4104033,2019-12-06,5410000,경상남도 창녕군
제58회 3·1민속문화제,영산면 일원(주행사장:무형문화재 놀이마당),2019-02-28,2019-03-03,국가무형문화재 제25호 영산쇠머리대기 및 제26호 영산줄다리기 공개행사 등,동.서부 추진본부 및 각 주관부서,(사)3.1민속문화향상회,,055-536-0031,,,경상남도 창녕군 영산면 원다리길 15-1,,35.45092332,128.5289404,2019-12-06,5410000,경상남도 창녕군
제33회 비사벌문화제,창녕읍 일원,2019-10-11,2019-10-13,"향토기양제, 비사벌문화행렬, 미술실기대회, 보부상존 운영, 각종 전시행사 등",비사벌문화제전회,비사벌문화제전회,,055-532-0993,,,경상남도 창녕군 창녕읍 학천길 13,,35.53835896,128.4987294,2019-12-06,5410000,경상남도 창녕군
가야문화축제,대성동 고분군 일원,2019-04-18,2019-04-21,"공식, 민속, 축제, 체험, 설치, 부대, 연계행사",(사)가야문화축제제전위원회,김해시,없음,055-330-3958,www.gcfkorea.com,"김해국립박물관, 김수로왕릉, 가야의 길, 가야테마파크 등",경상남도 김해시 가야의길 126,경상남도 김해시 대성동 434,35.23606039,128.8730826,2019-09-11,5350000,경상남도 김해시
김해분청도자기축제,진례면 분청도자관 일원,2019-10-25,2019-11-03,"의식,전시,체험,공연,학술,대회,부대행사",(사)김해도예협회,김해시,없음,055-330-3244,www.festival.buncheong.net,"김해분청도자관,클레이아크미술관 등",경상남도 김해시 진례로 275-35,,35.25149561,128.745857,2019-09-11,5350000,경상남도 김해시
김해독서대전,봉황대공원 일원,2019-10-12,2019-10-13,"강현,체험,학술토론,북페어",김해시,김해시,없음,055-330-6681,https://lib.gimhae.go.kr/00038/00039.web,"봉황대공원, 국립김해박물관, 김해도서관, 김해문화원",경상남도 김해시 가야의길 190,경상남도 김해시 구산동 232,35.2435463,128.872594,2019-09-11,5350000,경상남도 김해시
서대문독립민주축제,서대문형무소역사관,2019-08-14,2019-08-15,"풋프린팅,역사콘서트,체험프로그램 등",서울특별시 서대문독립민주축제추진위원회,서울특별시 서대문구,서울특별시,02-330-1410,https://blog.naver.com/sidfest,,서울특별시 서대문구 통일로 251,서울특별시 서대문구 현저동 101,37.574374,126.956064,2019-07-18,3120000,서울특별시 서대문구
크리스마스거리축제,연세로,2019-12-22,2019-12-25,"경관조명,거리공연,체험부스",서울특별시 서대문구,서울특별시 서대문구,서울특별시,02-330-1410,http://blog.naver.com/xmasfest,,서울특별시 서대문구 연세로,서울특별시 서대문구 창천동 연세로,37.557225,126.936889,2019-07-18,3120000,서울특별시 서대문구
제8회 낙동강 구포나루 축제,화명생태공원 선착장 일원,2019-05-17,2019-05-19,감동 민속촌/밀사리체험/바비큐체험/구포국수체험 등,(사)부산북구문화관광축제조직위원회,(사)부산북구문화관광축제조직위원회,"부산광역시 북구, 부산광역시",051-309-4065,http://www.guponarufes.co.kr,낙동민속예술제,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968,2019-12-26,3320000,부산광역시 북구
부산 2019 장애인미디어축제 ''배프 in BIFF'',부산 센텀시티 내 배리어프리존 일대,2019-10-03,2019-10-12,"배리어프리 극장(영화/연극/뮤지컬), 콘서트(음악, 미디어아트, 드림페스티벌), 거리축제(각종 체험부스)",센텀시티배리어프리존 운영위원회,부산국제영화제,,051-749-9510,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로 42,,35.17259614,129.130314,2019-11-04,B553505,시청자미디어재단
부산 2019 합천청소년 미디어영상캠프,경남 합천청소년수련관 일대,2019-07-25,2019-07-27,영상에 관심있는 경남 중고등학생 30여명이 함께 2박3일간 영상을 제작하는 집중교육,"시청자미디어재단 부산시청자미디어센터, 마산청소년문화의집","마산청소년문화의집, CJ헬로하나방송",,051-749-9522,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로 42,,35.17259614,129.130314,2019-11-04,B553505,시청자미디어재단
2019 산해진미프로젝트_사량도 청소년 여름방학캠프,"사량초등학교, 사량중학교",2019-08-20,2019-08-21,사량초중학교 청소년대상 여름방학 영상제작 집중 캠프,시청자미디어재단 부산시청자미디어센터,시청자미디어재단 부산시청자미디어센터,,051-749-9522,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로 42,,35.17259614,129.130314,2019-11-04,B553505,시청자미디어재단
2019 산해진미프로젝트_우도 청소년 여름방학캠프,우도중학교,2019-12-16,2019-12-17,우도중학교 청소년대상 겨울방학 영상제작 집중 캠프,시청자미디어재단 부산시청자미디어센터,시청자미디어재단 부산시청자미디어센터,,051-749-9522,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로 42,,35.17259614,129.130314,2019-11-04,B553505,시청자미디어재단
